,Gemeindename,average
192,Biezwil,160.88235294117646
193,Biglen,159.87966417910448
194,Billens-Hennens,153.39246119733926
195,Binn,183.59420289855072
196,Binningen,175.57241379310344
197,Bioggio,146.43547607539875
198,Bioley-Magnoux,139.35294117647058
199,Bioley-Orjulaz,143.9804964539007
200,Birmensdorf (ZH),161.70157771064115
201,Birmenstorf (AG),165.73546325878596
202,Birr,162.0505243088656
203,Birrhard,163.3172268907563
204,Birrwil,168.13020134228188
205,Birsfelden,167.92809278350515
206,Birwinken,165.43927648578813
207,Bischofszell,166.0027108433735
208,Bissone,148.77147239263803
209,Bister,164.8
210,Bitsch,171.02890173410404
211,Bière,153.6591422121896
212,Blatten,175.38028169014083
213,Blauen,173.62558139534883
214,Bleienbach,164.18691588785046
215,Blenio,162.14350180505414
216,Blonay,156.42496240601503
217,Blumenstein,170.2109144542773
218,Bodio,149.1574394463668
219,Bofflens,161.54225352112675
220,Bogis-Bossey,156.17241379310346
221,Bolken,159.6556886227545
222,Bolligen,160.43733231123036
223,Boltigen,190.04342105263157
224,Bonaduz,167.79533213644524
225,Boncourt,153.05633802816902
226,Bonfol,163.55927835051546
227,Boningen,161.5695067264574
228,Boniswil,164.27967097532314
229,Bonstetten,158.6144
230,Bonvillars,151.05016722408027
231,Boppelsen,164.02374670184696
232,Borex,158.579185520362
233,Bosco/Gurin,155.03703703703704
234,Bossonnens,153.64600715137067
235,Boswil,162.5351515151515
236,Bottens,148.80581241743727
237,Bottenwil,169.61759082217972
238,Botterens,153.78248587570621
239,Bottighofen,165.75311720698255
240,Bottmingen,173.68644348690754
241,Boudry,149.10707858428313
242,Bougy-Villars,169.4512987012987
243,Boulens,142.14225941422595
244,Bourg-Saint-Pierre,172.8705035971223
245,Bourg-en-Lavaux,158.48080133555928
246,Bournens,152.9387755102041
247,Bourrignon,157.5430463576159
248,Boussens,148.27631578947367
249,Bovernier,163.6108202443281
250,Bowil,168.6614730878187
251,Boécourt,156.08190476190475
252,Braunau,171.67555555555555
253,Bregaglia,178.328125
254,Breggia,147.16065573770493
255,Breil/Brigels,172.99358974358975
256,Breitenbach,166.40438551759306
257,Bremblens,152.15201900237528
258,Bremgarten (AG),163.5108668498626
259,Bremgarten bei Bern,159.29753521126761
260,Brenzikofen,163.83985765124555
261,Bretigny-sur-Morrens,147.8565965583174
262,Bretonnières,157.2123287671233
263,Bretzwil,174.96100917431193
264,Brienz (BE),165.88713910761155
265,Brienzwiler,170.29929577464787
266,Brig-Glis,171.20423892100192
267,Brione (Verzasca),152.45535714285714
268,Brione sopra Minusio,154.77733598409543
269,Brislach,176.91512513601742
270,Brissago,151.98374679213003
271,Brittnau,159.14292430653504
272,Broc,150.32630863358258
273,Brot-Plamboz,172.68527918781726
274,Brugg,161.5329554995802
275,Brunegg,160.48837209302326
276,Brusino Arsizio,151.0192926045016
277,Brusio,178.44287548138638
278,Brügg,161.3854511100614
279,Brünisried,162.5962441314554
280,Brüttelen,167.92196531791907
281,Brütten,162.61317254174398
282,Bubendorf,166.90606741573035
283,Bubikon,159.58535257282875
284,Buch (SH),171.30392156862746
285,Buch am Irchel,165.1290944123314
286,Buchberg,168.33520599250937
287,Buchegg,161.14629847238544
