,Gemeindename,average
836,Heiligenschwendi,173.13521126760563
837,Heimberg,160.32466311501096
838,Heimenhausen,160.23088235294117
839,Heimiswil,170.33124215809283
840,Heitenried,156.01277372262774
841,Hellikon,172.3107822410148
842,Hellsau,162.77358490566039
843,Hemberg,176.4910536779324
844,Hemishofen,163.2190812720848
845,Hemmiken,173.98529411764707
846,Hendschiken,160.43514644351464
847,Henggart,162.16182170542635
848,Henniez,154.76279069767443
849,Herbetswil,172.83985765124555
850,Herbligen,163.39375
851,Herdern,167.99838187702267
852,Hergiswil (NW),171.7617527568195
853,Hergiswil bei Willisau,172.40444893832154
854,Herisau,163.6135800860159
855,Hermance,164.30578512396696
856,Hermenches,150.75446428571428
857,Hermrigen,174.61352657004832
858,Herrliberg,175.86633197364293
859,Hersberg,164.20975609756098
860,Herznach,161.21230398069963
861,Herzogenbuchsee,161.11648797450013
862,Hettlingen,160.36030428769018
863,Hildisrieden,155.68934911242604
864,Hilterfingen,163.99693877551022
865,Himmelried,172.9636678200692
866,Hindelbank,157.59672386895477
867,Hinwil,163.60788311247026
868,Hirschthal,162.70289132602193
869,Hittnau,162.75459513164432
870,Hitzkirch,160.1769911504425
871,Hochdorf,157.23644637910567
872,Hochfelden,156.3987049028677
873,Hochwald,172.2490372272144
874,Hofstetten bei Brienz,162.17586206896553
875,Hofstetten-Flüh,172.41193853427896
876,Hohenrain,158.84467881112175
877,Hohentannen,169.2513661202186
878,Holderbank (AG),162.44387755102042
879,Holderbank (SO),173.6046511627907
880,Holziken,166.36158192090394
881,Homberg,173.72151898734177
882,Hombrechtikon,162.50057616962434
883,Homburg,171.23036093418258
884,Honau,167.39800995024876
885,Horgen,163.5588611959413
886,Horn,162.4833018273472
887,Hornussen,164.4388888888889
888,Horrenbach-Buchen,193.4945054945055
889,Horriwil,160.9958158995816
890,Horw,161.26819718811177
891,Hospental,172.92307692307693
892,Hubersdorf,160.1021897810219
893,Humlikon,162.74901960784314
894,Hundwil,177.96103896103895
895,Hunzenschwil,163.4783319705642
896,Huttwil,164.73855702094647
897,Häfelfingen,193.20348837209303
898,Hägendorf,163.54017857142858
899,Häggenschwil,163.79399727148703
900,Hägglingen,164.52809798270894
901,Härkingen,158.70223752151463
902,Häutligen,173.87845303867402
903,Hérémence,175.08316221765915
904,Höchstetten,170.9375
905,Hölstein,168.9569413511507
906,Höri,160.2045866022933
907,Hünenberg,163.7428838951311
908,Hüniken,153.1264367816092
909,Hüntwangen,159.58906525573192
910,Hüttikon,162.63564356435643
911,Hüttlingen,169.20634920634922
912,Hüttwilen,165.86318897637796
913,Icogne,172.5625
914,Iffwil,159.5930735930736
915,Ilanz/Glion,172.0265710670603
916,Illgau,179.89356435643563
917,Illnau-Effretikon,161.53846153846155
918,Inden,170.81034482758622
919,Ingenbohl,162.46458724202625
920,Inkwil,164.1552162849873
921,Innerthal,179.26495726495727
922,Innertkirchen,165.72652388797363
923,Ins,158.89275843007186
924,Interlaken,165.51597997689643
925,Inwil,157.68774966711052
926,Ipsach,160.55573333333334
927,Iseltwald,169.16981132075472
928,Isenthal,173.44787644787644
929,Islisberg,165.98
930,Isone,148.81739130434784
931,Isérables,177.77947598253274
932,Itingen,163.42415730337078
933,Ittigen,159.52053966975433
934,Jaberg,162.7123287671233
935,Jaun,179.57784431137725
936,Jegenstorf,159.27028066128412
937,Jenaz,173.23711340206185
938,Jenins,177.32325141776937
939,Jens,165.00531914893617
940,Jonen,162.31126397248497
941,Jongny,149.93155452436196
942,Jonschwil,161.08623939679546
943,Jorat-Menthue,153.71310629514963
944,Jorat-Mézières,149.69030303030303
945,Jouxtens-Mézery,160.58272506082724
946,Juriens,149.765
947,Jussy,161.66797385620916
948,Kaiseraugst,163.06927374301677
949,Kaiserstuhl,165.2202643171806
950,Kaisten,163.1367292225201
951,Kallern,167.3
952,Kallnach,160.35366931918657
953,Kaltbrunn,166.74114331723027
954,Kammersrohr,151.875
955,Kandergrund,184.1158392434988
956,Kandersteg,172.60410094637223
957,Kappel (SO),161.31366822429908
958,Kappel am Albis,159.20701754385965
959,Kappelen,163.28485576923077
960,Kaufdorf,161.2422997946612
961,Kehrsatz,158.1495652173913
962,Kemmental,167.05928338762214
963,Kernenried,163.08169934640523
964,Kerns,163.5903440300665
965,Kerzers,158.37393557941502
966,Kesswil,168.51024208566108
967,Kestenholz,159.11475409836066
968,Kienberg,175.94805194805195
969,Kiesen,156.51809523809524
970,Kilchberg (BL),192.89411764705883
971,Kilchberg (ZH),171.38578274760383
972,Killwangen,164.44859813084113
973,Kippel,180.16901408450704
974,Kirchberg (BE),159.2391167192429
975,Kirchberg (SG),167.36731500111782
976,Kirchdorf (BE),165.09007352941177
977,Kirchenthurnen,161.8783783783784
978,Kirchleerau,162.27407407407406
979,Kirchlindach,160.81440622972096
980,Kleinandelfingen,160.45869947275924
981,Kleinbösingen,158.65848214285714
982,Kleinlützel,169.70524691358025
983,Klingnau,166.13636363636363
984,Klosters-Serneus,179.9680030840401
985,Kloten,160.21510727715108
986,Knonau,154.2623106060606
987,Knutwil,157.20170674941815
988,Koblenz,166.7756264236902
989,Konolfingen,159.676
990,Koppigen,159.9241435562806
991,Kradolf-Schönenberg,166.28076171875
992,Krattigen,167.58415841584159
993,Krauchthal,159.72078376487053
994,Kreuzlingen,161.3835603017537
995,Kriechenwil,163.8388429752066
996,Kriegstetten,160.01237623762376
997,Kriens,156.01088761764163
998,Känerkinden,163.05607476635515
999,Kölliken,162.99434571890146
1000,Köniz,159.15664664726643
1001,Küblis,169.04403669724772
1002,Künten,165.3423967774421
1003,Küsnacht (ZH),176.2240932642487
1004,Küssnacht (SZ),160.9979622333922
1005,Küttigen,163.7558022199798
1006,L'Abbaye,155.38426966292135
1007,L'Abergement,148.34868421052633
1008,L'Isle,151.44788273615634
1009,La Baroche,162.68507462686568
1010,La Brillaz,151.68358714043993
1011,La Brévine,175.23203285420945
1012,La Chaux (Cossonay),152.39344262295083
1013,La Chaux-de-Fonds,155.28614491459194
1014,La Chaux-des-Breuleux,168.52173913043478
1015,La Chaux-du-Milieu,161.30035335689047
1016,La Côte-aux-Fées,167.77173913043478
1017,La Ferrière,168.49462365591398
1018,La Folliaz,157.37194127243066
1019,La Grande Béroche,156.63164579931046
1020,La Neuveville,153.3574423480084
1021,La Praz,155.5607476635514
1022,La Punt-Chamues-ch,182.2422222222222
1023,La Rippe,161.34636118598382
1024,La Roche,156.51012145748987
1025,La Sagne,159.04494382022472
1026,La Sarraz,148.15225160829164
1027,La Sonnaz,150.36962750716333
1028,La Tour-de-Peilz,149.75620322961797
1029,La Tène,153.3120950323974
1030,La Verrerie,158.81303116147308
1031,Laax,178.39414634146343
1032,Lachen,165.2403846153846
1033,Laconnex,153.60152284263958
1034,Lajoux (JU),159.77
1035,Lalden,171.79178885630498
1036,Lamone,143.29708222811672
1037,Lampenberg,169.65972222222223
1038,Lancy,157.65604623592176
1039,Landiswil,174.7774798927614
1040,Landquart,164.3559284116331
1041,Langenbruck,179.2078431372549
1042,Langendorf,157.75193798449612
1043,Langenthal,160.13239247311827
1044,Langnau am Albis,163.50972522383452
1045,Langnau im Emmental,162.70518191841234
1046,Langrickenbach,166.95890410958904
1047,Lantsch/Lenz,175.61904761904762
1048,Lauenen,197.0597014925373
1049,Lauerz,166.48408710217757
1050,Laufen,173.70980240216971
1051,Laufen-Uhwiesen,162.1149289099526
1052,Laufenburg,162.32883558220888
1053,Laupen,160.55251141552512
1054,Laupersdorf,166.5906432748538
1055,Lauperswil,174.25956738768718
1056,Lausanne,152.623013617899
1057,Lausen,167.00754716981132
1058,Lauterbrunnen,176.19929660023448
1059,Lauwil,174.6544502617801
1060,Lavertezzo,150.3793103448276
1061,Lavey-Morcles,154.68333333333334
1062,Lavigny,149.01730103806227
1063,Lavizzara,157.77027027027026
1064,Lax,173.17123287671234
1065,Le Bémont (JU),166.375
1066,Le Cerneux-Péquignot,157.9659090909091
1067,Le Chenit,151.36314363143632
1068,Le Châtelard,172.5137614678899
1069,Le Flon,153.9532324621733
1070,Le Grand-Saconnex,160.5376811594203
1071,Le Landeron,152.11959287531806
1072,Le Lieu,155.5213849287169
1073,Le Locle,156.78751885369533
1074,Le Mont-sur-Lausanne,150.3550996251726
1075,Le Mouret,152.7067231339333
1076,Le Noirmont,159.13236714975847
1077,Le Pâquier (FR),151.2648275862069
1078,Le Vaud,159.48477157360406
1079,Leibstadt,168.16525934861278
1080,Leimbach (AG),171.54212454212455
1081,Leissigen,165.57236842105263
1082,Lengnau (AG),167.52515090543258
1083,Lengnau (BE),161.56640058055152
1084,Lengwil,161.68162839248436
1085,Lenk,185.74317817014446
1086,Lens,183.3410469198851
1087,Lenzburg,160.54668763514843
1088,Les Bois,161.0608695652174
1089,Les Brenets,155.61724659606656
1090,Les Breuleux,160.07260726072607
1091,Les Clées,150.73504273504273
1092,Les Enfers,168.45333333333335
1093,Les Genevez (JU),162.5239520958084
1094,Les Montets,152.01081081081082
1095,Les Planchettes,171.98561151079136
1096,Les Ponts-de-Martel,165.6837146702557
1097,Les Verrières,171.6497461928934
1098,Leuggern,167.51771956856703
1099,Leuk,170.54391304347826
1100,Leukerbad,178.33333333333334
1101,Leutwil,169.35714285714286
1102,Leuzigen,163.3138888888889
1103,Leysin,170.2216456634544
1104,Leytron,167.3371298405467
1105,Lichtensteig,167.66505636070855
1106,Liddes,167.77207392197124
1107,Liedertswil,179.29565217391306
1108,Liesberg,181.6414814814815
1109,Liestal,168.92263652378156
1110,Ligerz,163.60625
1111,Lignerolle,149.67843137254903
1112,Lignières,154.92271293375396
1113,Lindau,161.84196721311474
1114,Linden,170.01478494623655
1115,Linescio,156.63333333333333
1116,Locarno,147.45379377431905
1117,Lohn (GR),166.25
1118,Lohn (SH),158.51443569553805
1119,Lohn-Ammannsegg,159.875
1120,Lohnstorf,159.06140350877192
1121,Lommis,167.3137003841229
1122,Lommiswil,157.47697756788665
1123,Lonay,149.47397094430994
1124,Longirod,158.9126213592233
1125,Losone,146.14627321292292
1126,Lostallo,154.0297951582868
1127,Lostorf,164.87455516014234
1128,Lotzwil,162.97138437741685
1129,Lovatens,153.37362637362637
1130,Loveresse,164.94835680751174
1131,Lucens,150.8644705882353
1132,Lufingen,162.4308943089431
1133,Lugano,150.0285040720103
1134,Lugnez,160.71544715447155
1135,Luins,156.9628647214854
1136,Lully (FR),151.16666666666666
1137,Lully (VD),151.30434782608697
1138,Lumino,143.7728260869565
1139,Lumnezia,178.01392515230634
1140,Lungern,167.14186248912097
1141,Lupfig,161.91831557584982
1142,Lupsingen,172.3924870466321
1143,Lussery-Villars,148.8052805280528
1144,Lussy-sur-Morges,156.1769230769231
1145,Luterbach,159.21819166215485
1146,Luthern,181.02396804260985
1147,Lutry,159.42552064948816
1148,Lutzenberg,171.42727272727274
1149,Luzein,176.30949105914718
1150,Luzern,159.10344597969035
1151,Lyss,159.05215875569857
1152,Lyssach,159.00333704115684
1153,Läufelfingen,177.9095966620306
1154,Löhningen,167.50269541778977
1155,Lüscherz,168.1570996978852
1156,Lüsslingen-Nennigkofen,160.88235294117646
1157,Lüterkofen-Ichertswil,162.2125813449024
1158,Lüterswil-Gächliwil,163.71681415929203
1159,Lütisburg,169.4569653948536
1160,Lütschental,179.54901960784315
1161,Lützelflüh,165.09267631103074
1162,Madiswil,167.8014301430143
1163,Madulain,174.9191176470588
1164,Magden,162.0009818360334
1165,Maggia,148.62101313320827
1166,Magliaso,146.90722761596547
1167,Maienfeld,168.29562841530054
1168,Maisprach,169.85507246376812
1169,Maladers,174.1135531135531
1170,Malans,165.95114006514657
1171,Malters,157.17661097852027
1172,Mammern,176.35423197492162
1173,Mandach,164.47120418848166
1174,Manno,142.7710663683818
1175,Maracon,158.68954248366012
1176,Marbach (SG),163.70901287553647
1177,Marchissy,155.55395683453239
1178,Marly,151.91616465863453
1179,Maroggia,144.1786542923434
1180,Marsens,152.6012323943662
1181,Marthalen,162.1586679725759
1182,Martigny,162.4487443778111
1183,Martigny-Combe,165.3588195841717
1184,Maschwanden,160.83792048929664
1185,Masein,168.79681274900398
1186,Massagno,146.39369043706867
1187,Massongex,162.37047101449275
1188,Massonnens,159.82874617737002
1189,Mathod,151.14739884393063
1190,Mathon,191.78125
1191,Matran,144.97294938917975
1192,Matten bei Interlaken,162.36898395721926
1193,Mattstetten,160.13333333333333
1194,Matzendorf,170.63391655450874
1195,Matzingen,167.20426287744226
1196,Mauborget,169.87142857142857
1197,Mauensee,161.6361829025845
1198,Maur,166.1034045635639
1199,Mauraz,170.79310344827587
1200,Medel (Lucmagn),180.21621621621622
1201,Meggen,166.88837713356813
1202,Meienried,166.04444444444445
1203,Meierskappel,164.87027027027028
1204,Meikirch,160.4303310238645
1205,Meilen,168.35327278421548
1206,Meinier,158.8004846526656
1207,Meinisberg,165.22139673105497
1208,Meiringen,162.46646473388142
1209,Meisterschwanden,165.36742034943472
1210,Melano,145.6837899543379
1211,Melchnau,166.22757697456493
1212,Melide,147.89142335766422
1213,Mellikon,177.51127819548873
1214,Mellingen,162.89948186528497
1215,Mels,164.04694419840567
1216,Meltingen,164.07520891364902
1217,Mendrisio,145.31386861313868
1218,Menziken,164.78737034777302
1219,Menzingen,166.8418688230009
1220,Menznau,167.90831815421978
1221,Merenschwand,162.40987780040734
1222,Mergoscia,146.10169491525423
1223,Merishausen,171.5438596491228
1224,Mervelier,162.1546762589928
1225,Merzligen,157.97881355932202
1226,Mesocco,158.64227642276424
1227,Messen,161.8122270742358
1228,Mettauertal,167.390263367917
1229,Mettembert,156.97297297297297
1230,Mettmenstetten,159.83106716110424
1231,Metzerlen-Mariastein,166.289156626506
1232,Mex (VD),150.63021868787277
1233,Meyriez,156.7891373801917
1234,Meyrin,155.04600674034015
1235,Mezzovico-Vira,143.59125315391086
1236,Mies,166.593537414966
1237,Miglieglia,145.5297619047619
1238,Milvignes,152.4060942889996
1239,Minusio,148.2437369519833
1240,Mirchel,167.51057401812687
1241,Misery-Courtion,155.05810147299508
1242,Missy,149.78604651162792
1243,Miège,165.84043848964677
1244,Moiry,147.3879781420765
1245,Mollens (VD),163.82857142857142
1246,Molondin,157.22695035460993
1247,Mont-Noble,169.07733333333334
1248,Mont-Tramelan,176.10843373493975
1249,Mont-Vully,154.36651053864168
1250,Mont-la-Ville,153.90661478599222
1251,Mont-sur-Rolle,155.55640138408305
1252,Montagny (FR),152.39662994167207
1253,Montagny-près-Yverdon,126.17038875103391
1254,Montanaire,150.35965453423813
1255,Montcherand,148.96797153024912
1256,Monteceneri,144.9735294117647
1257,Monteggio,149.72992700729927
1258,Montet (Glâne),148.7396694214876
1259,Montfaucon,164.99068322981367
1260,Montherod,155.52317880794703
1261,Monthey,161.182153671461
1262,Montilliez,151.0493273542601
1263,Montpreveyres,148.77513227513228
1264,Montreux,159.4605371711431
1265,Montricher,149.74537037037038
1266,Moosleerau,165.20572450805008
1267,Moosseedorf,151.69026548672565
1268,Morbio Inferiore,144.69559032716927
1269,Morcote,166.109126984127
1270,Morges,150.3863201094391
1271,Morlon,153.60845070422536
1272,Morrens (VD),153.15625
1273,Morschach,176.29137931034484
1274,Mosnang,173.93495400788436
1275,Moudon,153.54152367879203
1276,Moutier,158.28231201498528
1277,Movelier,159.015873015873
1278,Muhen,162.98935698447895
1279,Mumpf,158.07033997655333
1280,Muntelier,154.9724770642202
1281,Muolen,165.7791601866252
1282,Muotathal,180.7714895888948
1283,Muralto,150.94538745387453
1284,Murgenthal,167.88780487804877
1285,Muri (AG),160.9726507713885
1286,Muri bei Bern,164.4387107018101
1287,Muriaux,168.39236111111111
1288,Murten,154.8851498046027
1289,Mutrux,152.77
1290,Muttenz,168.8755213764338
1291,Muzzano,147.0472027972028
1292,Mägenwil,160.37377543330823
1293,Männedorf,164.5259006608399
1294,Märstetten,165.1131855309218
1295,Ménières,151.0891472868217
1296,Mézières (FR),156.6109375
1297,Möhlin,161.24465600862223
1298,Mönchaltorf,159.7340031729244
1299,Mönthal,165.23134328358208
1300,Mörel-Filet,172.1939393939394
1301,Mörigen,165.48393194706995
1302,Möriken-Wildegg,164.44380874540252
1303,Mörschwil,165.1533613445378
1304,Mötschwil,182.06060606060606
1305,Mühlau,166.03290414878398
1306,Mühleberg,159.9004457652303
1307,Mühlethurnen,159.5703001579779
1308,Müllheim,162.29694323144105
1309,Mülligen,160.61374795417348
1310,Mümliswil-Ramiswil,167.32407407407408
1311,Münchenbuchsee,158.48114143920594
1312,Münchenstein,170.09189797449363
1313,Münchenwiler,166.4102564102564
1314,Münchwilen (AG),160.20348837209303
1315,Münchwilen (TG),161.49901120632828
1316,Münsingen,159.53671421024828
1317,Münsterlingen,163.63757225433525
1318,Müntschemier,163.47869674185463
1319,Naters,170.6755624172916
1320,Nebikon,158.7272122421823
1321,Neckertal,176.13076533198176
1322,Neerach,166.08627648839555
1323,Neftenbach,163.45144448311868
1324,Neggio,152.23711340206185
1325,Nendaz,173.83404894804636
1326,Nenzlingen,175.86037735849055
1327,Nesslau,182.87356893977102
1328,Neuchâtel,153.79064472057772
1329,Neuendorf,160.29477020602218
1330,Neuenegg,159.65873015873015
1331,Neuenhof,163.76877723660598
1332,Neuenkirch,159.3114924596984
1333,Neuhausen am Rheinfall,168.9918430335097
1334,Neuheim,167.35735512630015
1335,Neunforn,168.5273556231003
1336,Neunkirch,164.10041841004184
1337,Neyruz (FR),147.76040172166427
1338,Nidau,161.8503907703759
1339,Niederbipp,164.36781179985064
1340,Niederbuchsiten,161.94358251057827
1341,Niederbüren,167.55397390272836
1342,Niederdorf,172.69223205506393
1343,Niedergesteln,173.7093023255814
1344,Niederglatt,162.71422940480883
1345,Niedergösgen,167.6037456875308
1346,Niederhasli,160.8920109037534
1347,Niederhelfenschwil,163.78459687123947
1348,Niederhünigen,166.27963525835867
1349,Niederlenz,163.84024713150927
1350,Niedermuhlern,173.8443113772455
1351,Niederried bei Interlaken,169.0939226519337
1352,Niederrohrdorf,161.73205964585276
1353,Niederweningen,160.67414965986396
1354,Niederwil (AG),162.49272727272728
1355,Niederönz,157.14186046511628
1356,Nods,161.6699801192843
1357,Noréaz,146.68765133171914
1358,Nottwil,157.77895266868077
1359,Novaggio,149.60479041916167
1360,Novalles,161.85294117647058
1361,Novazzano,145.00061349693252
1362,Noville,152.40657698056802
1363,Nuglar-St. Pantaleon,170.5421836228288
1364,Nunningen,171.63528336380256
1365,Nusshof,172.8969696969697
1366,Nuvilly,148.67391304347825
1367,Nyon,154.60601786553832
1368,Nürensdorf,164.08927464352138
1369,Oberbalm,177.6511111111111
1370,Oberbipp,164.38326848249028
1371,Oberbuchsiten,162.34105720492397
1372,Oberburg,164.8045584045584
1373,Oberbüren,164.54949784791967
1374,Oberdiessbach,166.37222808870115
1375,Oberdorf (BL),173.93203058623618
1376,Oberdorf (NW),157.92483463619965
1377,Oberdorf (SO),158.5482717520858
1378,Oberegg,175.5483592400691
1379,Oberembrach,163.48079877112136
1380,Oberems,167.59649122807016
1381,Oberengstringen,163.21278863232683
1382,Oberentfelden,160.8364794714488
1383,Obergerlafingen,162.4346103038309
1384,Oberglatt,162.5721092757306
1385,Obergoms,180.62222222222223
1386,Obergösgen,163.0184409052808
1387,Oberhallau,180.24066390041494
1388,Oberhelfenschwil,172.05753424657533
1389,Oberhof,171.32698412698412
1390,Oberhofen am Thunersee,162.66199649737302
1391,Oberhünigen,167.59756097560975
1392,Oberiberg,176.25473684210527
1393,Oberkirch,154.87084870848707
1394,Oberkulm,167.86869384934346
1395,Oberlangenegg,171.8484107579462
1396,Oberlunkhofen,164.59673258813413
1397,Obermumpf,166.4576
1398,Oberried am Brienzersee,167.05045871559633
1399,Oberrieden,165.4545045045045
1400,Oberriet (SG),163.1967438211063
1401,Oberrohrdorf,164.7964641885766
1402,Oberrüti,159.18421052631578
1403,Obersa Mundaun,174.74127906976744
1404,Obersiggenthal,163.91040462427745
1405,Obersteckholz,166.8564814814815
1406,Oberthal,175.68617021276594
1407,Oberuzwil,163.8374760994264
1408,Oberweningen,165.24536082474228
1409,Oberwil (BL),173.61956311618016
1410,Oberwil bei Büren,161.24324324324326
1411,Oberwil im Simmental,195.96288209606988
1412,Oberwil-Lieli,170.8891472868217
1413,Oberägeri,173.40096327513547
1414,Obfelden,159.8362800565771
1415,Ochlenberg,176.90506329113924
1416,Oekingen,155.61410788381744
1417,Oensingen,161.1843220338983
1418,Oeschenbach,172.1978021978022
1419,Oeschgen,163.95245901639345
1420,Oetwil am See,162.21293692245882
1421,Oetwil an der Limmat,168.6067415730337
1422,Oftringen,159.31950702358867
1423,Ogens,157.22448979591837
1424,Ollon,164.81381530081703
1425,Olsberg,167.02620087336246
1426,Olten,160.74876373626373
1427,Oltingen,171.56306306306305
1428,Onex,157.82808616404307
1429,Onnens (VD),146.80132450331126
1430,Onsernone,147.4550408719346
1431,Opfikon,160.57700421940928
1432,Oppens,167.33333333333334
1433,Oppligen,164.04054054054055
1434,Orbe,149.81284990669155
1435,Orges,148.82857142857142
1436,Origlio,148.4157832744405
1437,Ormalingen,165.47495826377295
1438,Ormont-Dessous,170.57440476190476
1439,Ormont-Dessus,169.19188596491227
1440,Orny,158.04736842105262
1441,Oron,151.54228004108182
1442,Orpund,158.5634110787172
1443,Orselina,156.90631364562117
1444,Orsières,171.66583291645824
1445,Orvin,164.59195402298852
1446,Orzens,151.39285714285714
1447,Ossingen,162.56642512077295
1448,Ostermundigen,159.1585194440106
1449,Otelfingen,158.80160197165742
1450,Othmarsingen,160.1757575757576
1451,Ottenbach,159.48391708363116
1452,Oulens-sous-Echallens,151.34963325183375
1453,Pailly,149.0172910662824
1454,Pampigny,152.5348506401138
1455,Paradiso,157.55102040816325
1456,Paudex,161.49019607843138
1457,Payerne,151.70647653000594
1458,Penthalaz,147.63120567375887
1459,Penthaz,149.07760141093473
1460,Penthéréaz,147.52189781021897
1461,Perly-Certoux,152.56457564575646
1462,Perrefitte,163.98154981549814
1463,Perroy,155.71540178571428
1464,Personico,153.0214592274678
1465,Peseux,152.71979985704075
1466,Petit-Val,171.9795918367347
1467,Pfaffnau,159.72783505154638
1468,Pfeffingen,173.0310421286031
1469,Pfungen,159.0548370408691
1470,Pfyn,167.55829228243022
1471,Pfäfers,175.48457583547557
1472,Pfäffikon,161.0136592379583
1473,Pierrafortscha,161.11494252873564
1474,Pieterlen,162.70823745973308
1475,Plaffeien,164.21069920225247
1476,Plan-les-Ouates,153.82072977260708
1477,Plasselb,160.39246467817895
1478,Plateau de Diesse,159.8724279835391
1479,Pleigne,165.33476394849785
1480,Pohlern,171.41666666666666
1481,Poliez-Pittet,152.48220640569394
1482,Pollegio,148.80657640232107
1483,Pompaples,150.27944572748268
1484,Pomy,150.04555808656036
1485,Pont-en-Ogoz,154.42450388265746
1486,Pont-la-Ville,153.2620320855615
1487,Ponte Capriasca,149.00533333333334
1488,Ponte Tresa,150.13492063492063
1489,Ponthaux,148.68232662192395
1490,Pontresina,182.24702144559174
1491,Porrentruy,153.3519053117783
1492,Port,160.98970840480274
1493,Port-Valais,160.17665995975855
1494,Porza,152.60518444666002
1495,Poschiavo,179.25918367346938
1496,Prangins,156.6480248557479
1497,Prato (Leventina),150.89121338912133
1498,Pratteln,165.44469783352338
1499,Pregny-Chambésy,168.61695607763025
1500,Premier,155.03846153846155
1501,Presinge,160.70391061452514
1502,Prez-vers-Noréaz,148.75867269984917
1503,Prilly,151.49682034976152
1504,Provence,169.79310344827587
1505,Préverenges,151.70031109574836
1506,Prévondavaux,154.725
1507,Prévonloup,157.64601769911505
1508,Puidoux,156.09029484029483
1509,Pully,157.05504261363637
1510,Puplinge,155.66533226581265
1511,Pura,147.16602316602317
1512,Péry-La Heutte,162.76072449952335
1513,Quarten,169.4448030987734
1514,Quinto,155.05745341614906
1515,Radelfingen,162.40856031128405
1516,Rafz,158.51855047454703
1517,Rain,155.38447088290545
1518,Ramlinsburg,171.0738255033557
1519,Ramsen,169.61611374407582
1520,Rances,152.95049504950495
1521,Randa,176.72340425531914
1522,Raperswilen,173.3181818181818
1523,Rapperswil (BE),160.84605087014725
1524,Rapperswil-Jona,162.68348930481284
1525,Raron,170.375
1526,Realp,169.20454545454547
1527,Rebstein,163.4013130898646
1528,Rebévelier,163.76923076923077
1529,Recherswil,158.12379421221866
1530,Rechthalten,157.527665317139
1531,Reconvilier,158.32874493927125
1532,Regensberg,160.70416666666668
1533,Regensdorf,156.65262727458597
1534,Rehetobel,171.60046189376445
1535,Reichenbach im Kandertal,171.56479690522244
1536,Reichenburg,167.9308885754584
1537,Reiden,157.22521389028685
1538,Reigoldswil,170.1843137254902
1539,Reinach (AG),168.2052095130238
1540,Reinach (BL),166.17350399299858
1541,Reisiswil,184.63963963963963
1542,Reitnau,162.30983847283406
1543,Rekingen (AG),168.9517625231911
1544,Remaufens,151.2373887240356
1545,Remetschwil,168.35042735042734
1546,Remigen,165.90140845070422
1547,Renan (BE),163.6992337164751
1548,Renens (VD),152.10024767071587
1549,Rennaz,154.93715341959336
1550,Reute (AR),169.47258485639688
1551,Reutigen,165.17068645640074
1552,Reverolle,144.850622406639
1553,Rheinau,160.62704309063892
1554,Rheineck,163.922256097561
1555,Rheinfelden,161.40690013869624
1556,Rhäzüns,167.60623229461757
1557,Riaz,150.51221001221
1558,Richterswil,159.7073054273436
1559,Rickenbach (BL),171.40625
1560,Rickenbach (LU),161.9130211013896
1561,Rickenbach (SO),157.7254601226994
1562,Rickenbach (TG),164.7443298969072
1563,Rickenbach (ZH),162.9105180533752
1564,Riddes,164.5131775236201
1565,Ried bei Kerzers,162.44655929721816
1566,Ried-Brig,169.19507575757575
1567,Riederalp,175.5506329113924
1568,Riedholz,163.2567365269461
1569,Riehen,166.36579717211117
1570,Riemenstalden,202.86486486486487
1571,Rietheim,162.50531914893617
1572,Rifferswil,154.5653021442495
1573,Riggisberg,169.91970310391363
1574,Ringgenberg (BE),163.557003257329
1575,Riniken,162.55858310626704
1576,Risch,159.8228417266187
1577,Riva San Vitale,145.26508875739646
1578,Rivaz,153.8923076923077
1579,Riviera,146.89505024190547
1580,Roche (VD),154.25252525252526
1581,Rochefort,158.23056653491437
1582,Roches (BE),164.12
1583,Rodersdorf,167.07967479674798
1584,Roggenburg,176.7716049382716
1585,Roggliswil,162.67083333333332
1586,Roggwil (BE),161.42946557534907
1587,Roggwil (TG),165.19435736677116
1588,Rohr (SO),181.73333333333332
1589,Rohrbach,167.14046822742475
1590,Rohrbachgraben,167.9265306122449
1591,Rolle,156.67537091988132
1592,Romainmôtier-Envy,152.45307443365695
1593,Romanel-sur-Lausanne,147.79699953117674
1594,Romanel-sur-Morges,149.0105708245243
1595,Romanshorn,165.33204707698243
1596,Romont (BE),176.13953488372093
1597,Romont (FR),154.90764331210192
1598,Romoos,186.56637168141592
1599,Ronco sopra Ascona,160.06873614190687
1600,Rongellen,175.61764705882354
1601,Root,156.2922262922263
1602,Ropraz,152.12367491166077
1603,Rorbas,158.95151089248068
1604,Rorschach,164.73469387755102
1605,Rorschacherberg,161.98647917793403
1606,Rossa,158.71698113207546
1607,Rossemaison,157.7275204359673
1608,Rossenges,166.275
1609,Rossinière,171.9963503649635
1610,Rothenbrunnen,164.24375
1611,Rothenburg,153.0683025550215
1612,Rothenfluh,173.75771971496437
1613,Rothenthurm,173.16392215568862
1614,Rothrist,161.77240723120838
1615,Rottenschwil,165.52107279693487
1616,Rougemont,187.35681470137825
1617,Roveredo (GR),150.10116492949112
1618,Rovio,147.14912280701753
1619,Rovray,157.09278350515464
1620,Rubigen,158.15663474692204
1621,Rudolfstetten-Friedlisberg,164.54014272970562
1622,Rue,155.06105263157895
1623,Rueyres,144.0359712230216
1624,Rumendingen,179.64285714285714
1625,Rumisberg,174.8068535825545
1626,Rupperswil,163.2837793194582
